team1,team2,possession team1,possession team2,possession in contest,goals team1,goals team2,date,hour,category,attempts team1,attempts team2,total attempts,scored team1,scored team2,total goals,Shot Conversion team1,Shot Conversion team2,goal inside the penalty area team1,goal inside the penalty area team2,total goals inside penalty area,goal outside the penalty area team1,goal outside the penalty area team2,total goals outside penalty area,assists team1,assists team2,on target attempts team1,on target attempts team2,off target attempts team1,off target attempts team2,attempts inside the penalty area team1,attempts inside the penalty area  team2,total attempts inside penalty area,attempts outside the penalty area team1,attempts outside the penalty area team2,total attempts outside penalty area,yellow cards team1,yellow cards team2,total yellow cards,red cards team1,red cards team2,total red cards,fouls by team1,fouls by team2,total fouls,offsides team1,offsides team2,total offsides,passes team1,passes team2,total passes,passes completed team1,passes completed team2,crosses team1,crosses team2,total crosses,crosses completed team1,crosses completed team2,corners team1,corners team2,total corners,free kicks team1,free kicks team2,total free kicks,penalties scored team1,penalties scored team2,total penalties scored,goal preventions team1,goal preventions team2,own goals team1,own goals team2,total own goals
BELGIUM,MOROCCO,56%,32%,12%,0,2,27-11-2022,14:00:00,Group Stage,10,11,21,0,2,2,0%,18%,0,2,2,0,0,0,0,2,4,4,6,6,5,6,11,5,5,10,1,1,2,0,0,0,14,10,24,3,3,6,671,317,988,598,275,19,9,28,3,4,9,1,10,17,13,30,0,0,0,11,10,0,0,0
CROATIA,CANADA,41%,46%,13%,4,1,27-11-2022,17:00:00,Group Stage,13,9,22,4,1,5,31%,11%,3,1,4,1,0,1,4,1,10,2,2,3,9,2,11,4,7,11,2,2,4,0,0,0,5,13,18,1,3,4,462,511,973,391,434,22,15,37,5,5,5,2,7,8,14,22,0,0,0,9,13,0,0,0
SPAIN,GERMANY,56%,33%,11%,1,1,27-11-2022,20:00:00,Group Stage,7,10,17,1,1,2,14%,10%,1,1,2,0,0,0,1,1,3,4,4,5,3,7,10,4,3,7,1,3,4,0,0,0,11,13,24,2,5,7,647,352,999,565,281,9,13,22,2,1,6,5,11,16,15,31,0,0,0,11,7,0,0,0
CAMEROON,SERBIA,38%,49%,13%,3,3,28-11-2022,11:00:00,Group Stage,13,16,29,3,3,6,23%,19%,3,2,5,0,1,1,3,3,8,6,3,8,9,11,20,4,5,9,2,2,4,0,0,0,13,8,21,0,4,4,364,513,877,271,433,20,23,43,1,4,4,3,7,17,8,25,0,0,0,16,13,0,0,0
KOREA REPUBLIC,GHANA,53%,32%,15%,2,3,28-11-2022,14:00:00,Group Stage,21,8,29,2,3,5,10%,38%,2,3,5,0,0,0,2,2,6,3,8,3,15,7,22,6,1,7,2,2,4,0,0,0,9,13,22,1,1,2,540,319,859,477,260,46,13,59,16,4,12,5,17,10,14,24,0,0,0,8,21,0,0,0
BRAZIL,SWITZERLAND,51%,40%,9%,1,0,28-11-2022,17:00:00,Group Stage,9,4,13,1,0,1,11%,0%,1,0,1,0,0,0,1,0,5,0,2,1,6,2,8,3,2,5,1,1,2,0,0,0,17,10,27,3,1,4,565,488,1053,498,415,26,11,37,3,3,8,3,11,18,13,31,0,0,0,4,9,0,0,0
PORTUGAL,URUGUAY,53%,35%,12%,2,0,28-11-2022,20:00:00,Group Stage,14,10,24,2,0,2,14%,0%,1,0,1,1,0,1,0,0,4,3,7,6,4,6,10,10,4,14,3,2,5,0,0,0,16,10,26,2,0,2,596,390,986,517,306,16,18,34,4,5,6,2,8,15,13,28,1,0,1,11,14,0,0,0
NETHERLANDS,QATAR,54%,38%,8%,2,0,29-11-2022,16:00:00,Group Stage,13,6,19,2,0,2,15%,0%,2,0,2,0,0,0,1,0,4,4,5,2,10,2,12,3,4,7,1,0,1,0,0,0,9,19,28,4,0,4,795,459,1254,740,394,11,16,27,1,4,4,2,6,9,24,33,0,0,0,5,14,0,0,0
ECUADOR,SENEGAL,51%,32%,17%,1,2,29-11-2022,16:00:00,Group Stage,8,15,23,1,2,3,13%,13%,1,2,3,0,0,0,1,0,4,5,3,8,5,11,16,3,4,7,0,1,1,0,0,0,11,23,34,0,3,3,432,269,701,353,198,19,20,39,6,5,3,6,9,14,22,36,0,1,1,15,8,0,0,0
WALES,ENGLAND,33%,58%,10%,0,3,29-11-2022,20:00:00,Group Stage,7,17,24,0,3,3,0%,18%,0,2,2,0,1,1,0,2,1,7,3,6,1,13,14,6,4,10,2,0,2,0,0,0,9,16,25,1,1,2,325,588,913,261,529,4,17,21,1,7,1,6,7,10,17,27,0,0,0,17,8,0,0,0
IRAN,UNITED STATES,42%,45%,13%,0,1,29-11-2022,20:00:00,Group Stage,6,12,18,0,1,1,0%,8%,0,1,1,0,0,0,0,1,2,5,4,4,5,8,13,1,4,5,3,1,4,0,0,0,10,13,23,2,1,3,463,470,933,379,413,18,22,40,3,2,1,5,6,11,15,26,0,0,0,13,6,0,0,0
AUSTRALIA,DENMARK,24%,60%,16%,1,0,30-11-2022,16:00:00,Group Stage,8,14,22,1,0,1,13%,0%,1,0,1,0,0,0,1,0,4,3,2,7,3,11,14,5,3,8,2,1,3,0,0,0,10,11,21,1,3,4,286,650,936,187,567,11,32,43,2,5,2,6,8,13,12,25,0,0,0,14,8,0,0,0
